FundCode,port_mgr_name,port_mgr_role_desc,effective_from_date,display_order
HHFGHY,Tom Ross,Portfolio Manager,2015-08-01T00:00:00.000Z,1
JUKGHY,Brent Olson,Portfolio Manager,2021-09-01T00:00:00.000Z,2
09,Philip Cody Wheaton,Portfolio Manager,2016-07-01T00:00:00.000Z,2
USAD,Ben Lofthouse,Portfolio Manager,2014-11-30T00:00:00.000Z,1
USAEFI,Daniel J. Graña,Portfolio Manager,2022-03-01T00:00:00.000Z,1
HINI,Ben Lofthouse,Portfolio Manager,2011-04-28T00:00:00.000Z,1
ACAP,John Bennett,Portfolio Manager,2012-12-17T00:00:00.000Z,2
BIF2,Agustin Mohedas,Portfolio Manager,2024-08-01T00:00:00.000Z,3
NPOT,Brad Smith,Portfolio Manager,2022-04-30T00:00:00.000Z,4
66,Julian McManus,Portfolio Manager,2018-01-01T00:00:00.000Z,1
GUKSAF,Luke Newman,Portfolio Manager,2010-03-31T00:00:00.000Z,2
148,Daniel Siluk,Portfolio Manager,2021-06-15T00:00:00.000Z,1
HSOENI,Diversified Alternatives Team,Portfolio Manager,2006-02-24T00:00:00.000Z,1
817,Ashwin Alankar,Portfolio Manager,2016-04-05T00:00:00.000Z,1
863,Brad Smith,Portfolio Manager,2024-05-20T00:00:00.000Z,4
HGMUSF,David Elms,Portfolio Manager,2020-06-03T00:00:00.000Z,1
GPUK,Tim Gibson,Portfolio Manager,2023-01-11T00:00:00.000Z,2
GPUK,Guy Barnard,Portfolio Manager,2023-01-11T00:00:00.000Z,1
42,Nick Schommer,Portfolio Manager,2016-01-12T00:00:00.000Z,2
USEMB,Daniel J. Graña,Portfolio Manager,2019-09-16T00:00:00.000Z,1
89JSF,Andy Acker,Portfolio Manager,2021-08-16T00:00:00.000Z,1
JMBS10,John Kerschner,Portfolio Manager,2018-09-12T00:00:00.000Z,1
HHFBTF,Daniel Lyons,Portfolio Manager,2018-12-10T00:00:00.000Z,2
FMPE27,Brad Smith,Portfolio Manager,2023-11-02T00:00:00.000Z,4
GSMSUS,Ollie Beckett,Portfolio Manager,2011-03-31T00:00:00.000Z,1
16,Garrett Strum,Portfolio Manager,2017-05-08T00:00:00.000Z,1
85,Greg Wilensky,Portfolio Manager,2020-02-01T00:00:00.000Z,1
172,Justin Tugman,Portfolio Manager,2024-07-23T00:00:00.000Z,1
JHAFSL,Tim Elliot,Portfolio Manager,2023-06-19T00:00:00.000Z,2
81,Jeremiah Buckley,Portfolio Manager,2015-12-31T00:00:00.000Z,1
EMKARP,Dylan Bourke,Portfolio Manager,2018-08-18T00:00:00.000Z,2
FIUUUF,Oliver Bardot,Portfolio Manager,2024-07-01T00:00:00.000Z,4
83JSF,Greg Wilensky,Portfolio Manager,2020-02-01T00:00:00.000Z,1
11,Greg Wilensky,Portfolio Manager,2020-02-01T00:00:00.000Z,1
HESZPE,Julia Scheufler,Portfolio Manager,2024-01-31T00:00:00.000Z,3
HHUSSE,Aaron Scully,Portfolio Manager,2021-08-03T00:00:00.000Z,2
64,John Lloyd,Portfolio Manager,2024-06-01T00:00:00.000Z,3
CAST,David Elms,Portfolio Manager,2017-04-01T00:00:00.000Z,1
DBGREF,Tim Gibson,Portfolio Manager,2017-12-15T00:00:00.000Z,2
848,Seth Meyer,Lead Portfolio Manager,2019-12-04T00:00:00.000Z,1
ALPF,Shan Kwee,Portfolio Manager,2020-12-01T00:00:00.000Z,2
HHFGSE,Aaron Scully,Portfolio Manager,2020-07-01T00:00:00.000Z,2
JRE100,Greg Kuhl,Portfolio Manager,2021-06-22T00:00:00.000Z,1
JMBS10,Nick Childs,Portfolio Manager,2018-09-12T00:00:00.000Z,2
848JSF,Seth Meyer,Portfolio Manager,2020-09-30T00:00:00.000Z,1
SML100,Zoey Zhu,Portfolio Manager,2024-05-01T00:00:00.000Z,2
HHFGSE,Hamish Chamberlayne,Portfolio Manager,2019-05-29T00:00:00.000Z,1
UKAOUE,Indriatti van Hien,Portfolio Manager,2017-05-01T00:00:00.000Z,2
UKAOUE,Neil Hermon,Portfolio Manager,2013-02-01T00:00:00.000Z,1
USAEFI,Matthew Culley,Portfolio Manager,2022-03-01T00:00:00.000Z,2
203,Ashwin Alankar,Portfolio Manager,2014-09-01T00:00:00.000Z,1
863,Michael Keough,Portfolio Manager,2024-05-20T00:00:00.000Z,3
NPOT,Hamish Chamberlayne,Portfolio Manager,2013-12-31T00:00:00.000Z,1
TCLIUE,David Smith,Deputy Fund Manager,2021-07-22T00:00:00.000Z,2
153,Benjamin Wang,Portfolio Manager,2016-04-07T00:00:00.000Z,1
84JSF,Brent Olson,Portfolio Manager,2019-06-28T00:00:00.000Z,2
61,Philip Cody Wheaton,Portfolio Manager,2016-07-01T00:00:00.000Z,2
JSCB10,Brad Smith,Portfolio Manager,2021-09-08T00:00:00.000Z,2
HIFOUE,Andrew Jones,Portfolio Manager,2012-05-08T00:00:00.000Z,2
155,Zoey Zhu,Portfolio Manager,2020-05-01T00:00:00.000Z,2
NSMOUE,James de Bunsen,Portfolio Manager,2023-07-07T00:00:00.000Z,2
UGEI,Alex Crooke,Portfolio Manager,2006-11-30T00:00:00.000Z,2
JAAA10,John Kerschner,Portfolio Manager,2020-10-16T00:00:00.000Z,1
80,Nick Schommer,Portfolio Manager,2017-07-03T00:00:00.000Z,1
JHSFTF,Alison Porter,Portfolio Manager,2021-08-03T00:00:00.000Z,2
105,Justin Tugman,Portfolio Manager,2015-03-19T00:00:00.000Z,2
113,Jonathan Coleman,Lead Portfolio Manager,2013-05-13T00:00:00.000Z,1
848,John Lloyd,Portfolio Manager,2019-12-04T00:00:00.000Z,3
57,Tom Ross,Portfolio Manager,2022-10-01T00:00:00.000Z,1
JHSFTF,Richard Clode,Portfolio Manager,2021-08-03T00:00:00.000Z,3
42,Doug Rao,Portfolio Manager,2013-06-03T00:00:00.000Z,1
89,Andy Acker,Portfolio Manager,2007-05-01T00:00:00.000Z,1
HEPZPP,Nicolas Scherf,Portfolio Manager,2018-04-27T00:00:00.000Z,2
05,Jeremiah Buckley,Portfolio Manager,2014-07-25T00:00:00.000Z,1
HGMUSF,Steve Cain,Portfolio Manager,2020-06-03T00:00:00.000Z,2
82JSF,Doug Rao,Portfolio Manager,2017-04-28T00:00:00.000Z,1
814,Dylan Bourke,Portfolio Manager,2021-06-15T00:00:00.000Z,3
81JSF,Jeremiah Buckley,Portfolio Manager,2015-12-31T00:00:00.000Z,1
AEBIFU,Robert Schramm-Fuchs,Portfolio Manager,2024-02-01T00:00:00.000Z,1
JHSFTF,Graeme Clark,Portfolio Manager,2021-08-03T00:00:00.000Z,1
AOCT,Ben Wallace,Portfolio Manager,2012-12-17T00:00:00.000Z,1
HACSTR,Jay Sivapalan,Portfolio Manager,2008-07-31T00:00:00.000Z,1
TDAE,Jay Sivapalan,Portfolio Manager,2020-01-22T00:00:00.000Z,1
201,Nick Harper,Portfolio Manager,2024-06-07T00:00:00.000Z,2
TSCIUS,Indriatti van Hien,Deputy Fund Manager,2016-05-31T00:00:00.000Z,2
JHAEME,Daniel J. Graña,Portfolio Manager,2023-08-09T00:00:00.000Z,1
DPTUCV,James de Bunsen,Portfolio Manager,2023-07-07T00:00:00.000Z,2
