ISIN,Country Available for Sale
GB00B56X7V74,United Kingdom;
GB00B56ZXF93,United Kingdom;
GB00B575TL64,United Kingdom;
GB00B57LBZ25,United Kingdom;
GB00B58P5X92,United Kingdom;
GB00B58RLX77,United Kingdom;
GB00B58YK641,United Kingdom;
GB00B590KM71,United Kingdom;
GB00B5BMZS29,United Kingdom;
GB00B5BT8739,United Kingdom;
GB00B5BTGN53,United Kingdom;
GB00B5KKCS68,United Kingdom;
GB00B5KKCX12,United Kingdom;
GB00B5KTVV95,United Kingdom;
GB00B5LN5X09,United Kingdom;
GB00B5LZWD55,United Kingdom;
GB00B5P5Y137,United Kingdom;
GB00B5PDYZ18,United Kingdom;
GB00B5SMF529,United Kingdom;
GB00B5T7PM36,United Kingdom;
GB00B5TPWM66,United Kingdom;
GB00B5TWYJ86,United Kingdom;
GB00B5VYGQ34,Switzerland;United Kingdom;
GB00B5W3L866,United Kingdom;
GB00B5WBM546,United Kingdom;
GB00B5WGH651,United Kingdom;
GB00B60F5Q72,United Kingdom;
GB00B60J6553,United Kingdom;
GB00B60W8701,United Kingdom;
GB00B60XBX02,United Kingdom;
GB00B60YHT19,United Kingdom;
GB00B60Z0952,United Kingdom;
GB00B60ZX639,United Kingdom;
GB00B6135H10,United Kingdom;
GB00B6193536,United Kingdom;
GB00B61H3Z77,United Kingdom;
GB00B62HVR46,United Kingdom;
GB00B62SGY92,United Kingdom;
GB00B633V157,United Kingdom;
GB00B63CMG44,United Kingdom;
GB00B63GZ232,United Kingdom;
GB00B65W2K67,United Kingdom;
GB00B6715Q82,United Kingdom;
GB00B67PDX37,United Kingdom;
GB00B68P2C40,United Kingdom;
GB00B68P3547,United Kingdom;
GB00B68SFJ13,United Kingdom;
GB00B68V5Y56,United Kingdom;
GB00B6RQV980,United Kingdom;
GB00B6RRQ855,United Kingdom;
GB00B6RRQB82,United Kingdom;
GB00B6SWKM12,United Kingdom;
GB00B6TX3022,United Kingdom;
GB00B6XY7V09,United Kingdom;
GB00B6YWFD12,United Kingdom;
GB00B6ZHN203,United Kingdom;
GB00B7167P92,United Kingdom;
GB00B716PN33,United Kingdom;
GB00B71DPP64,United Kingdom;
GB00B739TP06,United Kingdom;
GB00B74TXK27,United Kingdom;
GB00B75D7782,United Kingdom;
GB00B77CSM51,United Kingdom;
GB00B79BVS75,United Kingdom;
GB00B7BX6S68,United Kingdom;
GB00B7FFY956,United Kingdom;
GB00B7FNQ261,United Kingdom;
GB00B7GSYN71,United Kingdom;
GB00B7GZWL27,United Kingdom;
GB00B7JBM739,United Kingdom;
GB00B7JZZK97,United Kingdom;
GB00B7KYJH09,Switzerland;United Kingdom;
GB00B7M85J46,United Kingdom;
GB00B7MM5299,United Kingdom;
GB00B7N1FP89,United Kingdom;
GB00B7N7P453,United Kingdom;
GB00B7NHVR09,United Kingdom;
GB00B7PVFH84,United Kingdom;
GB00B7S7MS31,United Kingdom;
GB00B7S8R478,United Kingdom;
GB00B7V7B727,United Kingdom;
GB00B7VD8806,Belgium;United Kingdom;Ireland;Luxembourg;Netherlands;
GB00B7VD9Z41,Belgium;United Kingdom;Ireland;Luxembourg;Netherlands;
GB00B7W08J14,United Kingdom;
GB00B7YR0M72,United Kingdom;
GB00B8113P38,United Kingdom;
GB00B818S598,United Kingdom;
GB00B8289886,United Kingdom;
GB00B833F396,United Kingdom;
GB00B83JY963,United Kingdom;
GB00B83MQQ67,United Kingdom;
GB00B83N9J32,United Kingdom;
GB00B83VFR76,United Kingdom;
GB00B83WB618,United Kingdom;
GB00B84M8M53,United Kingdom;
GB00B85RDT13,United Kingdom;
GB00B87K9900,United Kingdom;
GB00B87M3G18,United Kingdom;
GB00B87TDF15,United Kingdom;
GB00B886PJ90,United Kingdom;
GB00B88HSJ33,United Kingdom;
GB00B88P7D42,United Kingdom;
GB00B89MF187,United Kingdom;
GB00B89YS045,United Kingdom;
GB00B8B1CF61,United Kingdom;
GB00B8B6NJ28,United Kingdom;
GB00B8BL1150,United Kingdom;
GB00B8BRW432,United Kingdom;
GB00B8DSVP82,United Kingdom;
GB00B8DWBL68,United Kingdom;
GB00B8GJGW07,United Kingdom;
GB00B8HLB865,United Kingdom;
GB00B8J9TP16,United Kingdom;
GB00B8J9W526,United Kingdom;
GB00B92MRV68,United Kingdom;
GB00B94Q8L39,United Kingdom;
GB00B94SCD93,United Kingdom;
GB00B96RS580,United Kingdom;
GB00B9DFQH34,United Kingdom;
GB00BBMJ9J35,United Kingdom;
GB00BBMJ9X78,United Kingdom;
GB00BBMJ9Y85,United Kingdom;
GB00BBMJC493,United Kingdom;
GB00BBMJC501,United Kingdom;
GB00BBMJC618,United Kingdom;
GB00BBPJF697,United Kingdom;
GB00BC1J4633,United Kingdom;
GB00BC1J4740,United Kingdom;
GB00BC1J4856,United Kingdom;
GB00BC1J4C93,United Kingdom;
GB00BD1FVK12,United Kingdom;
GB00BD3HZS16,United Kingdom;
GB00BD446V16,Germany;United Kingdom;
GB00BDD1JN64,United Kingdom;
GB00BDD1JP88,United Kingdom;
GB00BDD1JQ95,United Kingdom;
